title,description,status,year,jurisdiction,source,datePromulgated,yearEnded,learnMore,learnMoreLanguage,dateModified,countries,states,technologies,tags,policyType
Government spending for industry decarbonisation,"<div>The Swedish Government has set out several emissions reduction initiatives in the 2021 budget, including funding to reduce carbon emissions, including a focus on industrial emissions, with a budget of SEK 1.86 billion in 2021, SEK 1.14 billion in 2022 and SEK 0.52 billion in 2023.     </div><div>By means of the green credit guarantees, the government intends to promote major industrial investments that contribute to achieving environmental and climate goals. The cross-sectoral Climate Leap programme will be extended and the Green Industry Leap programme will be developed and broadened to allow more investments to reduce industrial emissions and contribute to the transition to a fossil-free and circular society. <br>The revision of the 2025 budget has allocated an additional SEK 2 190 000 000 to the Industry Leap for 2025. The Industry Leap is a government support scheme facilitating emission reductions for the industry.</div>",Announced,2021,National,International Energy Agency,2020-09-16,,https://www.government.se/4a73a0/contentassets/ddfaf5ce78494ce991ec231acf9c5b83/summary-budget-statement.pdf,English,1747658357045,"[{""iso3"":""SWE"",""name"":""Sweden""}]",[],[],"[""Government Energy Spending""]","[{""topic"":""Industry"",""family"":""Incentives and investments"",""name"":""Government spending for energy efficiency and recycling"",""category"":null}]"
Resolution 286 on pricing of greenhouse gas emissions,"<div>The government of Israel announced the plan to introduce a carbon tax at slowly increasing level from 2023 to 2028 through a statement approved by the Tax Authority and the Finance, Energy, Environmental Protection and Economy ministries. </div><div> </div><div>The nation’s first carbon tax will be applied to coal, liquified petroleum gas, fuel oil, petcoke and gas and is expected to cover about 80% of greenhouse gas emissions by 2028. However, the tax would not be introduced if the electricity price would rise by more than 5% through 2028. Additionally, diesel and gasoline will not be taxed any further as part of the scheme, due to existing levies. </div><div> </div><div>At a later stage, the tax will cover the emissions from other sources of global warming gases, such as garbage dumps, responsible for 8% of Israel’s GHG emissions, and cooling gases used in air conditioning systems, refrigerators, and refrigerated vehicles, which account for 7% of GHG emissions.</div>",Announced,2023,National,International Energy Agency,2021-08-01,2028,https://www.gov.il/he/departments/policies/dec286_2021,English,1711631658242,"[{""iso3"":""ISR"",""name"":""Israel""}]",[],[],[],"[{""topic"":""Buildings"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Transport"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""}]"
Law project for the Promotion of Sustainable Mobility ,"<div>The Argentinian government put forward in October 2021 a law project to boost domestic production of electric vehicles.<br><br>The law project foresees:<br>- the creation of a 20 year- support scheme for electromobility, both for consumers and manufacturers <br>- a ban on the sale of new ICE vehicles from 2041<br>- procurement of large electric vehicle fleets, both for the Argentinian administration and for public transports<br>-the establishment of a National Agency for Sustainable Mobility<br><br>Its implementation is expected to generate around 21,000 new jobs by 2030, around USD 8,300 investments and should bring CO2e10,7 million tons  in emission savings.<br><br></div>",Announced,2021,National,International Energy Agency,2021-10-12,,https://www.argentina.gob.ar/sites/default/files/2021/10/movilidad_sustentable.pdf,,1709903741821,"[{""iso3"":""ARG"",""name"":""Argentina""}]",[],"[""Transport technologies""]",[],"[{""topic"":""Transport"",""family"":""Regulations"",""name"":""ICE sales ban"",""category"":""2-/3-wheelers""},{""topic"":""Transport"",""family"":""Regulations"",""name"":""ICE sales ban"",""category"":""Medium/Heavy-duty vehicles""},{""topic"":""Transport"",""family"":""Regulations"",""name"":""ICE sales ban"",""category"":""Buses""},{""topic"":""Transport"",""family"":""Regulations"",""name"":""ICE sales ban"",""category"":""Light-duty vehicles""}]"
Norway's roadmap for boosting its green industry,"<div>The government released its roadmap for greening and strengthening its industry in the coming decade.<br>The roadmap focuses on 7 industries with great potential:</div><ul><li>offshore wind</li><li>hydrogen</li><li>batteries</li><li>the maritime industry</li><li>CO2 capture and storage</li><li>forestry wood and bio-economy</li><li>process industry.</li></ul><div>Investments in these sectors will be facilitated, among other measures.</div>",Announced,2022,National,International Energy Agency,2022-06-23,,https://www.regjeringen.no/no/aktuelt/slik-skal-norge-bli-en-gronn-industrikjempe/id2920522/,,1750778170227,"[{""iso3"":""NOR"",""name"":""Norway""}]",[],[],[],"[{""topic"":""Industry"",""family"":""Framework legislation"",""name"":""Strategic plans"",""category"":null}]"
Green steel production support,<div>The Federal Government allocated EUR 6 million from the Recovery and Transition plan for the development of green steel in Belgium. The grant is part of the Federal Hydrogen Strategy.</div>,Announced,2022,National,International Energy Agency,,,https://www.tinnevanderstraeten.be/federale_regering_steunt_productie_groen_staal_in_belgi,,1750777922301,"[{""iso3"":""BEL"",""name"":""Belgium""}]",[],"[""Direct reduced iron (incl. hydrogen-based)"",""Iron and steel""]",[],"[{""topic"":""Industry"",""family"":""Incentives and investments"",""name"":""Government spending for energy efficiency and recycling"",""category"":null}]"
COP28 - USA coal phase-out,"<div>At COP28, the US Climate Envoy John Kerry mentionned the need to phase-out coal to reach the pledge to reach net zero-emissions by 2035 in the power sector.<br>The United States also joined the Powering Past Coal Alliance in the same period of time.</div>",Announced,2023,International,International Energy Agency,,2035,https://poweringpastcoal.org/press-releases/the-united-states-heads-a-group-of-countries-making-new-commitments-to-phasing-out-coal/,,1709045124181,"[{""iso3"":""USA"",""name"":""United States""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
PPCA - Colombia's coal phase-out,"<div>In September 2023, Colombia joined the Powering Past Coal Alliance (PPCA), pledging to stop building new unabated coal power plants and phasing out unabated coal use in the power sector.<br>No statement over the enforcement year of this phase-out have been announced yet. </div>",Announced,2023,National,International Energy Agency,,,https://poweringpastcoal.org/press-releases/colombia-and-panama-join-ppca/,,1714643313009,"[{""iso3"":""COL"",""name"":""Colombia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
"COP26 ""End of Coal Sight"" initiative","<div>More than 40 countries pledged to phase out coal use for power generation at COP26, with at least 23 countries making new commitments. No clear common target date has been agreed for these pledges.  </div>",Announced,2021,International,International Energy Agency,,,https://unfccc.int/news/end-of-coal-in-sight-at-cop26,,1722420566376,"[{""iso3"":""CHL"",""name"":""Chile""},{""iso3"":""BWA"",""name"":""Botswana""},{""iso3"":""BRN"",""name"":""Brunei Darussalam""},{""iso3"":""CAN"",""name"":""Canada""},{""iso3"":""BEL"",""name"":""Belgium""},{""iso3"":""AZE"",""name"":""Azerbaijan""},{""iso3"":""ALB"",""name"":""Albania""},{""iso3"":""CIV"",""name"":""Cote D'ivoire""},{""iso3"":""HRV"",""name"":""Croatia""},{""iso3"":""CYP"",""name"":""Cyprus""},{""iso3"":""DNK"",""name"":""Denmark""},{""iso3"":""EGY"",""name"":""Egypt""},{""iso3"":""ECU"",""name"":""Ecuador""},{""iso3"":""FIN"",""name"":""Finland""},{""iso3"":""FRA"",""name"":""France""},{""iso3"":""DEU"",""name"":""Germany""},{""iso3"":""HUN"",""name"":""Hungary""},{""iso3"":""IDN"",""name"":""Indonesia""},{""iso3"":""PHL"",""name"":""Philippines""},{""iso3"":""MAR"",""name"":""Morocco""},{""iso3"":""NPL"",""name"":""Nepal""},{""iso3"":""NLD"",""name"":""Netherlands""},{""iso3"":""NZL"",""name"":""New Zealand""},{""iso3"":""PRT"",""name"":""Portugal""},{""iso3"":""POL"",""name"":""Poland""},{""iso3"":""SEN"",""name"":""Senegal""},{""iso3"":""SGP"",""name"":""Singapore""},{""iso3"":""SVK"",""name"":""Slovak Republic""},{""iso3"":""ISR"",""name"":""Israel""},{""iso3"":""IRL"",""name"":""Ireland""},{""iso3"":""ITA"",""name"":""Italy""},{""iso3"":""KAZ"",""name"":""Kazakhstan""},{""iso3"":""KOR"",""name"":""Korea""},{""iso3"":""LIE"",""name"":""Liechtenstein""},{""iso3"":""MDV"",""name"":""Maldives""},{""iso3"":""MUS"",""name"":""Mauritius""},{""iso3"":""GBR"",""name"":""United Kingdom""},{""iso3"":""VNM"",""name"":""Viet Nam""},{""iso3"":""ZMB"",""name"":""Zambia""},{""iso3"":""ESP"",""name"":""Spain""},{""iso3"":""LKA"",""name"":""Sri Lanka""},{""iso3"":""SOM"",""name"":""Somalia""}]",[],"[""Coal""]",[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
PPCA - Mexico's coal phase-out,"<div>Mexico is a member of the Power Past Coal Alliance (PCCA) since 2017, which implies a phase-out from unabated coal by 2030 in OECD and EU countries. <br>No plan supports a federal strategy as of 2023. </div>",Announced,2017,International,International Energy Agency,,,https://poweringpastcoal.org/members/mexico/,,1715781845861,"[{""iso3"":""MEX"",""name"":""Mexico""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
PPCA - Morocco's coal phase-out,"<div>Morocco joined the Powering Past Coal Alliance in 2023 which pledges to phase-out coal use in the power sector by 2030 in advanced economies, and 2040 for emerging markets and developping economies. <br>No target year has been explicitly announced yet. </div>",Announced,2023,International,International Energy Agency,,,https://poweringpastcoal.org/members/morocco/,,1715781826465,"[{""iso3"":""MAR"",""name"":""Morocco""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
