title,description,status,year,jurisdiction,source,datePromulgated,yearEnded,learnMore,learnMoreLanguage,dateModified,countries,states,technologies,tags,policyType,分析分類
[UNDER DISCUSSION] 2025 local content requirements for electricity infrastructure projects,"<div>Indonesia has introduced a minimum local content requirement (i.e. Tingkat Komponen Dalam Negeri - ""TKDN"") of 60% for solar modules starting from January 1, 2025. This is currently in review as the Ministry of Energy and Mineral Resources (ESDM) has proposed a reduction in TKDN requirements for solar module PLTS to 40% to provide flexibility for investors in building such facilities in Indonesia, the proposal has not yet been approved by the government.</div>",Announced,2025,National,International Energy Agency,,,https://www.makarim.com/news/switching-off-local-content-requirements-for-electricity-infrastructure,,1.71797E+12,"[{""iso3"":""IDN"",""name"":""Indonesia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Local content requirements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Local content requirements"",""category"":null}]",轉型計畫
Malaysia Carbon Tax,"<div>Malaysia? Minister of Finance has announced that Malaysia will start imposing a carbon tax on the iron, steel and energy sectors starting in 2026.</div>",Announced,2026,National,International Energy Agency,2024/10/25 00:00,,https://www.bharian.com.my/rencana/lain-lain/2024/03/1225263/pertimbang-laksana-cukai-karbon-demi-kelestarian-alam-ekonomi,,1.74172E+12,"[{""iso3"":""MYS"",""name"":""Malaysia""}]",[],[],[],"[{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""}]",轉型計畫
 Rail network investment plan 2025-2030,<div>Morocco is planning to invest nearly MAR 96 billion in projects to expand its rail network in the next five years.</div>,Announced,2025,National,International Energy Agency,2025/1/24 00:00,2030,https://www.maroc.ma/fr/actualites/des-investissements-attendus-de-lordre-de-96-mmdh-pour-developper-linfrastructure,,1.75078E+12,"[{""iso3"":""MAR"",""name"":""Morocco""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Incentives and investments"",""name"":""Government spending in rail infrastructure"",""category"":null}]",轉型計畫
Saudi Electricity Company Battery Energy Storage Systems Awards,"<div>Saudi Electricity Company (SEC) awards contracts for 2,500 MW Battery Energy Storage Systems across Saudi Arabia.</div>",Announced,2025,National,International Energy Agency,2025/1/8 00:00,,https://www.saudigulfprojects.com/2025/01/saudi-arabia-awards-10500mwh-battery-energy-storage-system-contracts/,,1.75078E+12,"[{""iso3"":""SAU"",""name"":""Saudi Arabia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending  in storage"",""category"":""Batteries""}]",轉型計畫
Finance Law 2025 - Carbon tax,"<div>The 2025 finance law provides for the introduction of a carbon tax in Morocco, set to be implemented in 2026.?</div>",Announced,2026,National,International Energy Agency,2024/12/26 00:00,,https://leseco.ma/business/taxe-carbone-le-maroc-veut-verdir-son-economie-sans-sacrifier-sa-competitivite.html,,1.75078E+12,"[{""iso3"":""MAR"",""name"":""Morocco""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Buildings"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""}]",轉型計畫
Kenya Power Investment Plan - transmission lines,<div>Kenya Power announced a KES 889 million investment in transmission lines in Western Kenya.??</div>,Announced,2025,National,International Energy Agency,2025/1/31 00:00,,https://www.businessdailyafrica.com/bd/corporate/industry/kenya-power-invests-sh889m-in-western-kenya-lines-4921434,,1.75078E+12,"[{""iso3"":""KEN"",""name"":""Kenya""}]",[],[],[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in electricity networks"",""category"":null}]",轉型計畫
Railway electrification project,"<div>Through the use of the EU Recovery and Resilience Fund, Lithuania plans to allocate EUR 52.2 million to railway electrification by 2026.</div>",Announced,2025,National,International Energy Agency,2025/3/12 00:00,,https://kauno.diena.lt/naujienos/verslas/ekonomika/gelezinkelio-elektrifikavimui-milijonai-1215853,,1.75078E+12,"[{""iso3"":""LTU"",""name"":""Lithuania""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Incentives and investments"",""name"":""Government spending in rail infrastructure"",""category"":null}]",轉型計畫
UK Rail Deal,<div>A plan earmarking 瞿1.5 billion for rail infrastructure upgrade was announced by the government in 2025.?</div>,Announced,2025,National,International Energy Agency,2025/2/3 00:00,,https://www.railtech.com/all/2025/02/03/rail-deal-scheme-for-1-5bn-upgrade-of-key-uk-line-unveiled/?gdpr=deny,,1.75078E+12,"[{""iso3"":""GBR"",""name"":""United Kingdom""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Incentives and investments"",""name"":""Government spending in rail infrastructure"",""category"":null}]",轉型計畫
 Batteries energy storage systems auctions,<div>Brazil is expected to hold an auction in 2025 exclusively to contract batteries and energy storage systems for the electricity sector.?</div>,Announced,2025,National,International Energy Agency,2024/9/12 00:00,,https://www.cnnbrasil.com.br/economia/macroeconomia/brasil-fara-leilao-para-armazenagem-de-energia-em-baterias-em-2025-diz-ministro/,,1.75078E+12,"[{""iso3"":""BRA"",""name"":""Brazil""}]",[],[],[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending  in storage"",""category"":""Batteries""}]",轉型計畫
CAFE III CO2 standards for light-duty vehicles from 2027 to 2032 phase III,"<div>As of April 2025, the Indian Government is currently drafting new CO2 emissions standards for cars, CAFE III (2027-2032) which have proposed WLTP CO2 emission targets of 91.7 g/km. This standard will be implemented with a super-credit mechanism making it easier for OEMs to reach compliance through electric car sales rather than through conventional ones.</div>",Announced,2027,National,International Energy Agency,2024/6/7 00:00,2032,https://beeindia.gov.in/sites/default/files/2024-06/Inviting%20Comments%20on%20Proposal%20of%20Future%20CAFE%20-%20III%20and%20IV.pdf,,1.75741E+12,"[{""iso3"":""IND"",""name"":""India""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Regulations"",""name"":""Fuel efficiency standards"",""category"":""Light-duty vehicles""}]",轉型計畫
